"","date","year","month","temp","logRainfall"
"6","1975-6-15",1975,6,5.73333333333333,3.42490843026766
"7","1975-7-15",1975,7,10.5,3.78864959425763
"8","1975-8-15",1975,8,10.3,3.13317869051805
"9","1975-9-15",1975,9,3.06666666666667,3.74584114791627
"10","1975-10-15",1975,10,3.26666666666667,3.9652480077589
"11","1975-11-15",1975,11,0.433333333333333,3.56642380578493
"12","1975-12-15",1975,12,-3.13333333333333,3.76589690061552
"13","1976-1-15",1976,1,-5.03333333333333,3.25338743645818
"14","1976-2-15",1976,2,-0.9,3.09596411639466
"15","1976-3-15",1976,3,0.6,2.91359578504762
"16","1976-4-15",1976,4,1.16666666666667,2.94764689067938
"17","1976-5-15",1976,5,4.26666666666667,3.49570988664907
"18","1976-6-15",1976,6,8.73333333333333,3.71313433984283
"19","1976-7-15",1976,7,11.4,3.52563577051649
"20","1976-8-15",1976,8,11.3,3.52786365752147
"21","1976-9-15",1976,9,6.86666666666667,0.946858695438747
"22","1976-10-15",1976,10,4.3,3.93042871947971
"23","1976-11-15",1976,11,1.33333333333333,3.49901379343417
"24","1976-12-15",1976,12,-4.1,3.73580495389473
"25","1977-1-15",1977,1,-3.26666666666667,3.77335483138602
"26","1977-2-15",1977,2,-3.6,2.58922019217773
"27","1977-3-15",1977,3,-1.1,3.76786500461943
"28","1977-4-15",1977,4,-1.93333333333333,3.73759410678368
"29","1977-5-15",1977,5,4.93333333333333,-Inf
"30","1977-6-15",1977,6,7.73333333333333,3.26662300239382
"31","1977-7-15",1977,7,10.0333333333333,3.73064808810002
"32","1977-8-15",1977,8,8.8,3.84819906756467
"33","1977-9-15",1977,9,6.1,3.67111746908856
"34","1977-10-15",1977,10,2.5,4.27883143370132
"35","1977-11-15",1977,11,-2.9,4.04695061346973
"36","1977-12-15",1977,12,-1.26666666666667,3.34464783753493
"37","1978-1-15",1978,1,-4.13333333333333,3.27266372681622
"38","1978-2-15",1978,2,-4.66666666666667,3.33835650953344
"39","1978-3-15",1978,3,-1.7,3.70506487894479
"40","1978-4-15",1978,4,1.23333333333333,2.19332027492423
"41","1978-5-15",1978,5,5.46666666666667,3.40737339464451
"42","1978-6-15",1978,6,7.26666666666667,3.50787558787583
"43","1978-7-15",1978,7,9.2,4.06516206992045
"44","1978-8-15",1978,8,10.9333333333333,3.20857625402317
"45","1978-9-15",1978,9,5.43333333333333,3.4142551212096
"46","1978-10-15",1978,10,2.7,3.60253487719404
"47","1978-11-15",1978,11,-1.63333333333333,3.73971950538349
"48","1978-12-15",1978,12,-0.733333333333333,2.38211289925423
"49","1979-1-15",1979,1,-6.53333333333333,3.57558563154925
"50","1979-2-15",1979,2,-3.06666666666667,2.82878329266372
"51","1979-3-15",1979,3,-7.86666666666667,3.60391053230583
"52","1979-4-15",1979,4,-1.33333333333333,4.02761337404348
"53","1979-5-15",1979,5,-1.93333333333333,3.41025503161289
"54","1979-6-15",1979,6,7.36666666666667,3.60762309162541
"55","1979-7-15",1979,7,7.23333333333333,3.4363493013778
"56","1979-8-15",1979,8,7.26666666666667,3.64051470417764
"57","1979-9-15",1979,9,2.33333333333333,4.43738855009287
"58","1979-10-15",1979,10,3.16666666666667,3.14521478395133
"59","1979-11-15",1979,11,-1.66666666666667,3.97968668096831
"60","1979-12-15",1979,12,-2.06666666666667,3.08615603708184
"61","1980-1-15",1980,1,-3.43333333333333,3.46974239956963
"62","1980-2-15",1980,2,-1.46666666666667,3.19537777742204
"63","1980-3-15",1980,3,-1.03333333333333,3.08171911437009
"64","1980-4-15",1980,4,2.43333333333333,2.89489179739892
"65","1980-5-15",1980,5,6.33333333333333,2.83436507385862
"66","1980-6-15",1980,6,8.23333333333333,4.11148239497323
"67","1980-7-15",1980,7,9.93333333333333,3.49130538415836
"68","1980-8-15",1980,8,9.36666666666667,3.71904624894202
"69","1980-9-15",1980,9,5.96666666666667,3.73063376296402
"70","1980-10-15",1980,10,-0.8,3.48013603022691
"71","1980-11-15",1980,11,-1.53333333333333,3.5247908006184
"72","1980-12-15",1980,12,-4.93333333333333,3.75779952691687
"73","1981-1-15",1981,1,-4.76666666666667,3.87317999804303
"74","1981-2-15",1981,2,-4.1,3.03884068088525
"75","1981-3-15",1981,3,-3.7,4.30817333577335
"76","1981-4-15",1981,4,2.03333333333333,2.77892860026333
"77","1981-5-15",1981,5,3.33333333333333,2.68785595929592
